,Order Date,Sales
0,2015-01-01,122497
1,2015-02-01,66030
2,2015-03-01,247156
3,2015-04-01,203258
4,2015-05-01,164263
5,2015-06-01,206064
6,2015-07-01,220986
7,2015-08-01,230161
8,2015-09-01,382200
9,2015-10-01,241726
10,2015-11-01,480979
11,2015-12-01,410279
12,2016-01-01,89009
13,2016-02-01,90823
14,2016-03-01,212164
15,2016-04-01,237272
16,2016-05-01,222722
17,2016-06-01,205388
18,2016-07-01,215776
19,2016-08-01,229543
20,2016-09-01,429658
21,2016-10-01,249639
22,2016-11-01,477720
23,2016-12-01,472245
24,2017-01-01,131727
25,2017-02-01,132982
26,2017-03-01,238956
27,2017-04-01,247773
28,2017-05-01,332524
29,2017-06-01,291454
30,2017-07-01,315531
31,2017-08-01,256089
32,2017-09-01,546728
33,2017-10-01,308026
34,2017-11-01,550561
35,2017-12-01,518307
36,2018-01-01,234739
37,2018-02-01,166267
38,2018-03-01,355704
39,2018-04-01,310150
40,2018-05-01,367411
41,2018-06-01,354902
42,2018-07-01,337092
43,2018-08-01,331014
44,2018-09-01,705680
45,2018-10-01,443898
46,2018-11-01,683410
47,2018-12-01,687245
